track_name,artist_names,streams,bpm,music_key,music_mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
CHORRITO PA LAS ANIMAS,Feid,345031710,96,G#,Minor,0.74,0.61,0.83,0.11,0.0,0.35,0.06
Ch y la Pizza,"Fuerza Regida, Natanael Cano",288101651,149,G#,Major,0.66,0.85,0.6,0.4,0.0,0.14,0.13
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",60350538,110,F#,Minor,0.66,0.32,0.4,0.81,0.0,0.11,0.03
Players,Coi Leray,335074782,105,F#,Major,0.95,0.62,0.52,0.03,0.0,0.05,0.16
Bite Me,ENHYPEN,76767396,105,C#,Major,0.8,0.69,0.78,0.28,0.0,0.11,0.14
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",46065667,134,B,Major,0.76,0.61,0.58,0.06,0.0,0.16,0.03
Normal,Feid,459276435,170,E,Minor,0.71,0.59,0.56,0.04,0.0,0.27,0.12
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",39666245,81,F#,Major,0.59,0.26,0.6,0.46,0.01,0.25,0.13
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",138517666,154,F#,Major,0.63,0.75,0.92,0.31,0.0,0.91,0.05
Bad Habit,Steve Lacy,822633917,169,C#,Major,0.69,0.69,0.51,0.63,0.0,0.38,0.04
CUFF IT,Beyoncï¿,595900742,115,G,Major,0.78,0.64,0.69,0.04,0.0,0.07,0.14
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",51985779,84,A,Minor,0.43,0.14,0.74,0.01,0.0,0.19,0.08
69,"Nicky Jam, Feid",57945987,93,G#,Major,0.79,0.58,0.62,0.11,0.0,0.11,0.23
Niï¿½ï¿½a Bo,"Sean Paul, Feid",115010040,91,G,Major,0.82,0.47,0.62,0.1,0.0,0.1,0.15
Search & Rescue,Drake,175097833,142,A#,Minor,0.82,0.54,0.44,0.06,0.0,0.33,0.07
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",57089066,126,C#,Major,0.78,0.2,0.7,0.01,0.0,0.16,0.04
Lavender Haze,Taylor Swift,488386797,97,A#,Major,0.73,0.1,0.44,0.26,0.0,0.16,0.08
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",32761689,101,F,Major,0.92,0.59,0.51,0.41,0.51,0.26,0.08
Efecto,Bad Bunny,1047480053,98,G,Minor,0.8,0.23,0.48,0.14,0.0,0.06,0.05
Erro Gostoso - Ao Vivo,Simone Mendes,153454328,154,F#,Major,0.59,0.63,0.89,0.18,0.0,0.8,0.09
Cupido,Tini,217672943,120,A,Major,0.91,0.63,0.58,0.52,0.0,0.31,0.22
Just Wanna Rock,Lil Uzi Vert,457184829,150,B,Major,0.49,0.04,0.55,0.07,0.0,0.06,0.03
Unstoppable,Sia,939844851,174,A,Major,0.47,0.27,0.78,0.11,0.0,0.1,0.08
Until I Found You,Stephen Sanchez,726434358,202,A#,Major,0.34,0.25,0.51,0.69,0.0,0.18,0.04
Rich Flex,"Drake, 21 Savage",573633020,153,B,Minor,0.56,0.42,0.52,0.05,0.0,0.36,0.24
Easy On Me,Adele,1406111294,142,F,Major,0.6,0.13,0.37,0.58,0.0,0.13,0.03
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",71573339,108,A,Minor,0.84,0.55,0.47,0.26,0.0,0.2,0.64
Danger (Spider) (Offset & JID),"Offset, JID",24975653,143,B,Major,0.83,0.25,0.69,0.04,0.0,0.23,0.12
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,145458418,108,D,Major,0.67,0.55,0.67,0.6,0.0,0.8,0.05
The Real Slim Shady,Eminem,1424589568,104,F,Minor,0.95,0.78,0.66,0.03,0.0,0.04,0.06
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",231332117,93,F#,Minor,0.84,0.96,0.79,0.43,0.0,0.18,0.11
The Color Violet,Tory Lanez,415932686,105,F#,Minor,0.65,0.46,0.53,0.16,0.0,0.09,0.05
Glimpse of Us,Joji,988515741,170,G#,Major,0.44,0.27,0.32,0.89,0.0,0.14,0.05
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",50847624,178,C#,Minor,0.62,0.56,0.66,0.18,0.0,0.12,0.05
Curtains,Ed Sheeran,39893489,176,F#,Minor,0.5,0.44,0.76,0.1,0.0,0.32,0.05
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",92035115,104,E,Minor,0.8,0.38,0.88,0.11,0.0,0.11,0.05
Haegeum,Agust D,118810253,85,G,Major,0.7,0.83,0.84,0.31,0.0,0.47,0.3
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",77233241,117,F#,Minor,0.77,0.69,0.58,0.39,0.0,0.26,0.05
MIENTRAS ME CURO DEL CORA,Karol G,206399629,80,,Major,0.52,0.57,0.48,0.86,0.0,0.15,0.39
Never Felt So Alone,Labrinth,117747907,98,F,Major,0.44,0.36,0.41,0.5,0.0,0.38,0.05
X SI VOLVEMOS,"Karol G, Romeo Santos",266624541,178,C#,Minor,0.79,0.58,0.78,0.34,0.0,0.11,0.25
ceilings,Lizzy McAlpine,293186992,148,A,Major,0.51,0.27,0.33,0.48,0.0,0.22,0.03
Cupid,Fifty Fifty,139681964,120,D,Major,0.77,0.94,0.66,0.65,0.0,0.38,0.03
I AM,IVE,123132751,122,E,Minor,0.68,0.38,0.88,0.01,0.0,0.08,0.05
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,103762518,144,F,Major,0.74,0.75,0.73,0.42,0.0,0.09,0.04
Shorty Party,"Cartel De Santa, La Kelly",162887075,96,D,Major,0.93,0.47,0.47,0.33,0.0,0.1,0.36
Super,SEVENTEEN,91221625,137,G#,Major,0.77,0.35,0.88,0.16,0.0,0.17,0.09
Slut Me Out,NLE Choppa,190490915,121,F#,Minor,0.94,0.71,0.61,0.12,0.0,0.53,0.42
Double Fantasy (with Future),"The Weeknd, Future",96180277,119,A,Minor,0.6,0.1,0.57,0.01,0.0,0.5,0.03
All Of The Girls You Loved Before,Taylor Swift,185240616,96,D,Major,0.72,0.4,0.47,0.71,0.0,0.13,0.04
PROVENZA,Karol G,885093467,111,C#,Major,0.87,0.53,0.52,0.66,0.01,0.11,0.05
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",104992946,148,A,Major,0.9,0.74,0.68,0.14,0.0,0.1,0.19
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",147290338,182,A,Major,0.57,0.8,0.59,0.08,0.0,0.06,0.05
Shivers,Ed Sheeran,1302184087,141,D,Major,0.79,0.82,0.86,0.28,0.0,0.04,0.09
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",158950978,145,E,Minor,0.76,0.8,0.81,0.19,0.0,0.06,0.09
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",76910644,110,B,Minor,0.76,0.26,0.7,0.01,0.0,0.41,0.06
Komang,Raim Laode,137123880,134,G,Major,0.7,0.35,0.41,0.41,0.0,0.1,0.03
DESPECHï¿,ROSALï¿½,782369383,130,G,Major,0.92,0.78,0.62,0.18,0.0,0.06,0.1
Made You Look,Meghan Trainor,502574952,145,A#,Major,0.84,0.88,0.53,0.35,0.0,0.08,0.07
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",207033255,130,B,Minor,0.69,0.36,0.9,0.01,0.1,0.15,0.04
No Se Va,Grupo Frontera,404887295,173,,Major,0.59,0.69,0.53,0.12,0.0,0.23,0.03
Punto G,Quevedo,381161027,92,B,Minor,0.75,0.55,0.76,0.25,0.0,0.1,0.15
Lovers Rock,TV Girl,466231982,105,F,Minor,0.56,0.57,0.87,0.0,0.01,0.1,0.04
METAMORPHOSIS,INTERWORLD,357580552,175,G,Minor,0.59,0.15,0.64,0.43,0.9,0.12,0.1
Mami Chula,"Quevedo, Jhayco",61105704,120,G,Minor,0.8,0.33,0.7,0.22,0.0,0.09,0.04
En Paris,"El Chachito, Junior H",198275403,139,D#,Minor,0.7,0.77,0.48,0.37,0.0,0.12,0.05
Set Me Free Pt.2,Jimin,168448603,132,,Minor,0.59,0.56,0.82,0.12,0.0,0.12,0.06
I Was Never There,"The Weeknd, Gesaffelstein",705469769,114,A#,Major,0.32,0.17,0.74,0.14,0.0,0.17,0.03
Don't ever say love me (feat. RM of BTS),"RM, Colde",34502215,145,B,Minor,0.54,0.19,0.48,0.36,0.0,0.37,0.05
Shut Down,BLACKPINK,482175240,110,,Major,0.82,0.67,0.69,0.0,0.0,0.18,0.04
Gato de Noche,"Nengo Flow, Bad Bunny",304118600,94,G#,Major,0.89,0.61,0.66,0.17,0.0,0.36,0.16
Call Out My Name,The Weeknd,1449799467,134,C#,Major,0.45,0.17,0.6,0.21,0.0,0.33,0.04
Like Crazy (English Version),Jimin,173627354,120,G,Major,0.62,0.32,0.76,0.0,0.0,0.39,0.04
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",90025258,123,G,Minor,0.7,0.86,0.68,0.24,0.0,0.11,0.04
Sunroof,"Nicky Youre, Dazy",652704649,131,A#,Major,0.77,0.84,0.71,0.35,0.0,0.15,0.04
Lose Yourself - Soundtrack Version,Eminem,1829992958,171,D,Major,0.7,0.06,0.73,0.01,0.0,0.36,0.26
Superman,"Eminem, Dina Rae",655466831,130,E,Minor,0.8,0.64,0.76,0.02,0.0,0.2,0.06
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",146409671,94,B,Major,0.82,0.53,0.67,0.34,0.0,0.09,0.08
People Pt.2 (feat. IU),"IU, Agust D",95816024,89,G,Minor,0.73,0.44,0.57,0.39,0.0,0.32,0.06
REMIX EXCLUSIVO,Feid,117206995,87,F,Minor,0.65,0.71,0.56,0.04,0.0,0.15,0.2
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",100409613,124,B,Minor,0.72,0.79,0.78,0.55,0.0,0.15,0.3
DOGTOOTH,"Tyler, The Creator",80758350,78,G#,Major,0.71,0.8,0.65,0.51,0.0,0.22,0.32
10:35,"Tiï¿½ï¿½sto, Tate M",325592432,120,G#,Major,0.7,0.7,0.79,0.07,0.0,0.18,0.1
SORRY NOT SORRY,"Tyler, The Creator",58473276,96,F#,Minor,0.48,0.5,0.8,0.4,0.0,0.37,0.2
HAPPY,NF,52722996,106,G,Major,0.73,0.22,0.86,0.31,0.0,0.12,0.04
La Bebe,Yng Lvcas,191945597,170,D,Minor,0.78,0.75,0.46,0.62,0.0,0.12,0.35
I Know - PR1SVX Edit,"Kanii, PR1ISVX",77377503,134,B,Minor,0.67,0.11,0.76,0.08,0.47,0.3,0.07
Late Night Talking,Harry Styles,743693613,115,A#,Major,0.71,0.9,0.73,0.3,0.0,0.11,0.05
Leï¿½,Marï¿½ï¿½lia Mendo,267789608,130,F#,Major,0.74,0.79,0.87,0.45,0.0,0.3,0.03
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",1221813483,118,,Major,0.65,0.63,0.79,0.03,0.0,0.1,0.03
Something in the Orange,Zach Bryan,449701773,110,G,Major,0.59,0.22,0.38,0.42,0.0,0.12,0.03
VOID,Melanie Martinez,67070410,100,A,Major,0.72,0.42,0.66,0.18,0.04,0.19,0.04
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",116334601,142,G,Minor,0.7,0.76,0.79,0.26,0.0,0.11,0.07
Midnight Rain,Taylor Swift,433356509,140,,Major,0.64,0.18,0.37,0.72,0.0,0.12,0.07
If We Ever Broke Up,Mae Stephens,165584767,116,G,Major,0.9,0.96,0.73,0.62,0.0,0.09,0.04
You Proof,Morgan Wallen,367814306,120,A,Major,0.73,0.64,0.85,0.25,0.0,0.61,0.03
LA INOCENTE,"Feid, Mora",477033549,92,F,Minor,0.76,0.46,0.79,0.31,0.0,0.07,0.06
Malas Decisiones,Kenia OS,156214700,110,G#,Minor,0.81,0.64,0.79,0.05,0.0,0.31,0.03
Murder In My Mind,Kordhell,448843705,120,A#,Major,0.71,0.57,0.97,0.01,0.0,0.13,0.11
Gangsta's Paradise,"Coolio, L.V.",1357608774,80,G#,Major,0.63,0.4,0.61,0.09,0.0,0.56,0.06
CAIRO,"Karol G, Ovy On The Drums",294352144,115,F,Minor,0.95,0.43,0.69,0.47,0.0,0.09,0.31
I Love You So,The Walters,972164968,76,A#,Major,0.58,0.46,0.67,0.65,0.0,0.13,0.04
Dark Red,Steve Lacy,920045682,172,F#,Major,0.6,0.77,0.78,0.45,0.0,0.12,0.06
Say You Won't Let Go,James Arthur,2420461338,99,A#,Major,0.4,0.45,0.56,0.69,0.0,0.09,0.05
The Hills,The Weeknd,1947371785,136,,Minor,0.36,0.12,0.57,0.09,0.0,0.14,0.08
Heart To Heart,Mac DeMarco,244658767,150,G#,Minor,0.9,0.64,0.14,0.67,0.35,0.11,0.1
Peaches (from The Super Mario Bros. Movie),Jack Black,68216992,92,A#,Minor,0.71,0.41,0.31,0.79,0.0,0.1,0.05
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",223582566,95,C#,Major,0.77,0.72,0.87,0.17,0.0,0.07,0.05
LOKERA,"Brray, Rauw Alejandro, Lyanno",471819764,102,B,Minor,0.83,0.58,0.83,0.21,0.0,0.1,0.05
Low,SZA,272377463,145,,Minor,0.7,0.34,0.55,0.43,0.0,0.16,0.06
Numb,Linkin Park,1361425037,110,A,Major,0.5,0.24,0.86,0.0,0.0,0.64,0.04
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",149778242,95,,Major,0.64,0.3,0.77,0.46,0.0,0.38,0.06
on the street (with J. Cole),"j-hope, J. Cole",116599790,94,B,Minor,0.68,0.81,0.82,0.53,0.0,0.09,0.13
One Thing At A Time,Morgan Wallen,148469433,142,G,Major,0.61,0.92,0.91,0.0,0.0,0.26,0.03
Miss You,"Robin Schulz, Oliver Tree",497225336,145,F#,Minor,0.59,0.2,0.74,0.01,0.0,0.15,0.05
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,88791109,121,F#,Minor,0.64,0.67,0.8,0.0,0.0,0.36,0.03
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,125917280,140,D#,Minor,0.66,0.43,0.76,0.49,0.0,0.12,0.03
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",105062254,137,C#,Minor,0.84,0.44,0.67,0.08,0.0,0.11,0.06
Everything I Love,Morgan Wallen,95623148,104,G#,Major,0.56,0.72,0.85,0.0,0.0,0.15,0.03
Heaven,Niall Horan,144584800,92,F,Major,0.57,0.68,0.76,0.07,0.0,0.33,0.03
LET GO,Central Cee,298063749,146,D,Minor,0.74,0.51,0.45,0.86,0.0,0.21,0.38
Sial,Mahalini,166570053,120,D,Major,0.56,0.2,0.43,0.89,0.0,0.12,0.04
I Wrote The Book,Morgan Wallen,83021468,144,D,Major,0.68,0.83,0.81,0.09,0.0,0.08,0.04
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",139836056,94,A,Major,0.59,0.44,0.56,0.8,0.0,0.06,0.03
SPIT IN MY FACE!,ThxSoMch,303216294,94,G#,Major,0.73,0.65,0.79,0.05,0.02,0.11,0.06
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",221409663,113,G,Minor,0.79,0.66,0.74,0.08,0.0,0.11,0.05
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",58890931,148,E,Major,0.5,0.49,0.76,0.12,0.0,0.12,0.03
Red Ruby Da Sleeze,Nicki Minaj,81419389,98,C#,Major,0.7,0.29,0.73,0.12,0.0,0.11,0.26
Kahani Suno 2.0,Kaifi Khalil,156777415,140,B,Major,0.58,0.26,0.38,0.91,0.0,0.1,0.04
Nobody Gets Me,SZA,284908316,100,G,Major,0.36,0.28,0.28,0.81,0.0,0.18,0.03
PERO Tï¿,"Karol G, Quevedo",93438910,140,F#,Major,0.86,0.68,0.79,0.39,0.0,0.11,0.29
Hype Boy,NewJeans,363472647,100,E,Minor,0.59,0.78,0.94,0.27,0.0,0.29,0.23
Bloody Mary,Lady Gaga,372476382,100,A,Minor,0.59,0.49,0.65,0.02,0.0,0.13,0.03
Monotonï¿½,"Ozuna, Shakira",380726517,132,,Minor,0.87,0.82,0.7,0.42,0.0,0.21,0.05
ýýý98 Braves,Morgan Wallen,56533272,142,D,Major,0.49,0.48,0.67,0.1,0.0,0.26,0.03
WANDA,Quevedo,175399345,176,E,Minor,0.72,0.96,0.63,0.25,0.0,0.21,0.07
Thought You Should Know,Morgan Wallen,203221468,140,F#,Major,0.53,0.51,0.7,0.49,0.0,0.14,0.03
In The End,Linkin Park,1624165576,105,D#,Minor,0.55,0.4,0.9,0.01,0.0,0.32,0.06
Zona De Perigo,Leo Santana,134294498,135,F,Major,0.81,0.97,0.77,0.75,0.0,0.35,0.03
Lovezinho,Treyce,70069745,128,E,Minor,0.82,0.61,0.59,0.3,0.0,0.12,0.04
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",609293408,101,F,Major,0.74,0.43,0.69,0.12,0.0,0.12,0.07
Neverita,Bad Bunny,671365962,122,A#,Major,0.88,0.43,0.5,0.07,0.0,0.14,0.05
Vista Al Mar,Quevedo,362361576,105,,Minor,0.76,0.49,0.56,0.8,0.12,0.1,0.13
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",93587665,83,C#,Major,0.53,0.4,0.36,0.73,0.0,0.11,0.33
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",1223481149,77,B,Minor,0.72,0.59,0.76,0.24,0.0,0.42,0.28
Revenge,XXXTENTACION,1022258230,140,B,Minor,0.75,0.18,0.25,0.78,0.0,0.11,0.26
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",263453310,158,C#,Major,0.65,0.72,0.95,0.31,0.0,0.92,0.05
LA CANCIï¿½,"J Balvin, Bad Bunny",1435127549,176,G,Major,0.75,0.43,0.65,0.15,0.0,0.11,0.32
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",236857112,98,B,Major,0.73,0.88,0.57,0.56,0.0,0.05,0.02
Love Again,The Kid Laroi,147538971,107,B,Minor,0.66,0.47,0.4,0.72,0.0,0.11,0.03
After Hours,The Weeknd,698086140,109,F,Minor,0.66,0.16,0.57,0.1,0.01,0.12,0.03
About Damn Time,Lizzo,723894473,109,A#,Minor,0.84,0.72,0.74,0.1,0.0,0.34,0.07
Born With A Beer In My Hand,Morgan Wallen,34450974,148,,Major,0.53,0.61,0.81,0.05,0.0,0.36,0.04
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,403097450,158,F#,Minor,0.6,0.52,0.76,0.17,0.0,0.19,0.05
Besos Moja2,"Wisin & Yandel, ROSALï¿½",309483971,94,F,Minor,0.74,0.64,0.73,0.06,0.0,0.1,0.06
Maan Meri Jaan,King,319566866,96,F#,Minor,0.7,0.4,0.51,0.35,0.0,0.1,0.04
Moscow Mule,Bad Bunny,909001996,100,F,Minor,0.8,0.29,0.67,0.29,0.0,0.12,0.03
My Universe,"Coldplay, BTS",1061966512,105,A,Major,0.58,0.42,0.68,0.01,0.0,0.14,0.04
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,32526947,125,,Major,0.53,0.32,0.66,0.38,0.0,0.09,0.03
LLYLM,ROSALï¿½,124988687,170,F#,Minor,0.56,0.56,0.63,0.13,0.0,0.19,0.27
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",103787664,115,,Major,0.7,0.84,0.9,0.17,0.0,0.41,0.06
TRUSTFALL,P!nk,134255790,122,G#,Major,0.64,0.25,0.89,0.0,0.0,0.15,0.09
ANTIFRAGILE,LE SSERAFIM,301051721,105,A#,Minor,0.88,0.82,0.8,0.08,0.0,0.11,0.08
Boy's a liar,PinkPantheress,156338624,133,F,Major,0.66,0.74,0.84,0.25,0.0,0.21,0.04
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",152850295,100,,Major,0.79,0.6,0.68,0.07,0.0,0.26,0.04
Shirt,SZA,309653982,120,D#,Minor,0.82,0.55,0.45,0.15,0.03,0.09,0.1
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,297328960,177,A,Major,0.25,0.17,0.3,0.9,0.0,0.13,0.03
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,332506354,142,D,Minor,0.64,0.31,0.72,0.15,0.0,0.09,0.05
"Sex, Drugs, Etc.",Beach Weather,480507035,144,E,Minor,0.57,0.47,0.84,0.01,0.01,0.52,0.04
Boy With Luv (feat. Halsey),"Halsey, BTS",1065580332,120,B,Minor,0.65,0.8,0.86,0.09,0.0,0.19,0.1
"Hey, Mickey!",Baby Tate,122763672,135,D,Major,0.92,0.73,0.51,0.55,0.0,0.15,0.06
Calm Down,Rï¿½ï,445763624,107,B,Major,0.81,0.82,0.78,0.38,0.0,0.12,0.04
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",1365184,105,G,Major,0.82,0.62,0.74,0.1,0.0,0.33,0.07
Escapism. - Sped Up,"RAYE, 070 Shake",184308753,108,F#,Minor,0.44,0.38,0.77,0.09,0.0,0.09,0.2
Space Song,Beach House,789753877,147,,Minor,0.51,0.62,0.79,0.22,0.13,0.14,0.03
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",323358833,115,,Major,0.71,0.34,0.88,0.16,0.0,0.44,0.04
Te Felicito,"Shakira, Rauw Alejandro",606361689,174,F,Major,0.7,0.57,0.64,0.23,0.0,0.08,0.32
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",120972253,90,A#,Minor,0.68,0.83,0.71,0.03,0.0,0.31,0.08
TV,Billie Eilish,338564981,141,E,Minor,0.41,0.09,0.25,0.84,0.01,0.14,0.04
I'm Not The Only One,Sam Smith,1606986953,82,F,Major,0.68,0.5,0.49,0.56,0.0,0.08,0.04
Heather,Conan Gray,1301799902,92,F,Major,0.47,0.25,0.43,0.62,0.0,0.32,0.03
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",140187018,116,G#,Minor,0.77,0.65,0.8,0.06,0.0,0.15,0.04
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",1897517891,124,A,Minor,0.79,0.59,0.86,0.04,0.0,0.08,0.11
Sugar Rush Ride,TOMORROW X TOGETHER,107642809,125,A#,Minor,0.71,0.83,0.89,0.01,0.0,0.17,0.09
Pink Venom,BLACKPINK,551305895,90,,Major,0.8,0.71,0.69,0.02,0.0,0.27,0.1
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",556585270,83,C#,Major,0.46,0.34,0.64,0.31,0.0,0.07,0.34
Don't Start Now,Dua Lipa,2303033973,124,B,Minor,0.79,0.68,0.79,0.01,0.0,0.1,0.08
After Dark,Mr.Kitty,646886885,140,G#,Major,0.58,0.04,0.6,0.07,0.41,0.08,0.03
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",222612678,154,,Major,0.64,0.61,0.91,0.15,0.0,0.72,0.04
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",1814349763,150,D#,Minor,0.74,0.89,0.7,0.02,0.0,0.05,0.06
MIDDLE OF THE NIGHT,Elley Duhï¿,872137015,186,E,Minor,0.41,0.09,0.61,0.02,0.0,0.12,0.05
Atlantis,Seafret,571386359,166,G#,Minor,0.4,0.23,0.48,0.05,0.0,0.12,0.03
PUNTO 40,"Baby Rasta, Rauw Alejandro",304079786,107,,Major,0.87,0.2,0.83,0.0,0.04,0.31,0.09
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",174006928,87,G,Major,0.87,0.52,0.52,0.31,0.0,0.28,0.24
How Do I Say Goodbye,Dean Lewis,284785823,82,G#,Major,0.4,0.39,0.64,0.21,0.0,0.07,0.07
Blind,SZA,163284000,114,A,Minor,0.46,0.6,0.28,0.91,0.0,0.21,0.04
Die For You,Joji,246390068,148,G#,Major,0.47,0.15,0.52,0.38,0.13,0.29,0.05
Doja,Central Cee,482257456,140,F#,Major,0.91,0.97,0.57,0.38,0.0,0.4,0.29
Gatita,Bellakath,168684524,101,G,Major,0.9,0.76,0.81,0.15,0.24,0.33,0.06
Rumble,"Skrillex, Flowdan, Fred again..",78489819,140,C#,Minor,0.81,0.06,0.84,0.05,0.23,0.06,0.06
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",195516622,88,G,Minor,0.49,0.24,0.66,0.19,0.0,0.18,0.29
Yonaguni,Bad Bunny,1260594497,180,C#,Major,0.64,0.44,0.65,0.28,0.0,0.14,0.12
Super Freaky Girl,Nicki Minaj,428685680,133,D,Major,0.95,0.91,0.89,0.06,0.0,0.31,0.24
Running Up That Hill (A Deal With God),Kate Bush,1024858327,108,A#,Minor,0.63,0.2,0.55,0.72,0.0,0.06,0.06
Dream On,Aerosmith,838586769,80,F,Minor,0.39,0.24,0.43,0.39,0.0,0.23,0.03
Limbo,Freddie Dredd,199386237,75,B,Minor,0.8,0.46,0.62,0.03,0.06,0.11,0.46
Where Are You Now,"Lost Frequencies, Calum Scott",972509632,121,F#,Minor,0.67,0.26,0.64,0.52,0.0,0.17,0.1
WORTH NOTHING,"Twisted, Oliver Tree",213438580,140,D,Minor,0.58,0.17,0.62,0.18,0.0,0.2,0.08
Bad Habits,Ed Sheeran,1555511105,126,B,Minor,0.81,0.59,0.9,0.05,0.0,0.36,0.03
KICK BACK,Kenshi Yonezu,210038833,102,C#,Major,0.58,0.29,0.94,0.0,0.0,0.09,0.11
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,227918678,82,A,Major,0.7,0.31,0.34,0.6,0.01,0.11,0.04
Good Days,SZA,826623384,121,C#,Minor,0.46,0.53,0.78,0.23,0.0,0.72,0.06
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",1802514301,103,F#,Minor,0.7,0.92,0.83,0.01,0.0,0.07,0.06
Woman,Doja Cat,1329090101,108,F,Minor,0.82,0.88,0.76,0.09,0.0,0.12,0.09
Shut up My Moms Calling - (Sped Up),Hotel Ugly,181831132,85,F,Minor,0.65,0.36,0.47,0.31,0.0,0.12,0.1
Ferrari,"James Hype, Miggy Dela Rosa",462791599,125,C#,Minor,0.84,0.7,0.69,0.01,0.0,0.05,0.05
"You're On Your Own, Kid",Taylor Swift,348647203,120,D,Major,0.69,0.4,0.39,0.41,0.0,0.13,0.06
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",366599607,94,,Major,0.58,0.44,0.57,0.57,0.0,0.1,0.03
Agudo Mï¿½ï¿½gi,"Styrx, utku INC, Thezth",90598517,130,F#,Minor,0.65,0.49,0.8,0.22,0.04,0.07,0.05
Payphone,"Maroon 5, Wiz Khalifa",1479264469,110,E,Major,0.74,0.51,0.74,0.02,0.0,0.29,0.04
All I Want for Christmas Is You,Mariah Carey,1449779435,150,G,Major,0.34,0.33,0.63,0.16,0.0,0.07,0.04
